Ahha3Cqe_fk,Katy Perry,The One That Got Away,matching,"And on my eighteenth birthday, we got __ tattoos",10360,17200,6840,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NL2VBU604Jw,Gavin Degraw,Best I Ever Had,Massachusetts,"Hey __, hey Minnesota (you're the best I ever had)",199110,202640,3530,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
j-fWDrZSiZs,Dido,White Flag,much,I know I left too __ mess and,91490,96910,5420,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
j-fWDrZSiZs,Dido,White Flag,Which,__ I'm sure we will,149610,152340,2730,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
TGwZ7MNtBFU,Gwen Stefani,Cool,such,And it's __ a miracle that you and me are still good friends,43450,51260,7810,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
w4s6H4ku6ZY,Far  East Movement,Like A G6,touch,(You can't __ this),161200,161800,600,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
w4s6H4ku6ZY,Far  East Movement,Like A G6,touch,(You can't __ this),168860,169570,710,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ZyhrYis509A,Aqua,Barbie Girl,touch,"Kiss me here, __ me there, hanky panky.",52520,55530,3010,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ZyhrYis509A,Aqua,Barbie Girl,touch,"You can __,",55530,57420,1890,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ZyhrYis509A,Aqua,Barbie Girl,touch,"You can __,",109340,111260,1920,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ZyhrYis509A,Aqua,Barbie Girl,touch,"You can __,",117120,119580,2460,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ZyhrYis509A,Aqua,Barbie Girl,much,"Oh, I'm having so __ fun!",184410,187320,2910,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
i3Jv9fNPjgk,Azealia Banks,212,much,"Bet his b**** won't get him, betcha you won't do __",156860,159910,3050,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
i3Jv9fNPjgk,Azealia Banks,212,touch,"Your b****'ll get you cut and __ you crew up too, Pop",161700,163430,1730,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
VV1XWJN3nJo,Natalie Imbruglia,Torn,much,I don't miss it all that __,98640,101630,2990,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
VV1XWJN3nJo,Natalie Imbruglia,Torn,touch,That I can't __,104190,105320,1130,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RB-RcX5DS5A,Coldplay,The Scientist,such,It's __ a shame for us to part,59610,66360,6750,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RB-RcX5DS5A,Coldplay,The Scientist,such,"Oh, it's __ a shame for us to part",157790,164550,6760,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
1G4isv_Fylg,Coldplay,Paradise,reach,But it flew away from her __,47230,50740,3510,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
1G4isv_Fylg,Coldplay,Paradise,reach,But it flew away from her __ and the bullets catch in her teeth,88730,95750,7020,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
gnhXHvRoUd0,Kings Of Leon,Use Somebody,reach,"Painted faces, fill the places I can't __",36780,43290,6510,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Tj75Arhq5ho,Metallica,Nothing Else Matters,much,Couldn't be __ more from the heart,64860,70130,5270,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Tj75Arhq5ho,Metallica,Nothing Else Matters,much,It couldn't be __ more from the heart,149510,154790,5280,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Tj75Arhq5ho,Metallica,Nothing Else Matters,much,Couldn't be __ more from the heart,328600,333900,5300,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
DmeUuoxyt_E,Nickelback,Rockstar,bleach,Every Playboy bunny with her __ blond hair,84210,87650,3440,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
DmeUuoxyt_E,Nickelback,Rockstar,bleach,Every Playboy bunny with her __ blond hair,157270,161270,4000,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
DmeUuoxyt_E,Nickelback,Rockstar,bleach,Every Playboy bunny with her __ blond hair,218760,222650,3890,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
vabnZ9-ex7o,Nirvana,Come As You Are,bleach,"Come doused in mud, soaked in __",66070,70830,4760,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
4KEEXyRL0qE,Placebo,Running Up That Hill,much,Is there so __ hate for the ones we love?,112170,117320,5150,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8SbUC-UaAxE,Guns N' Roses,November Rain,such,We've been through this __ a long long time,124470,127510,3040,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Rbm6GXllBiw,Guns N' Roses,Paradise City,riches,Rags to __ or so they say,113030,114660,1630,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
u5CVsCnxyXg,Radiohead,No Surprises,Such,__ a pretty house,176870,181860,4990,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
u5CVsCnxyXg,Radiohead,No Surprises,such,And __ a pretty garden,181860,188470,6610,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
vUSzL2leaFM,Eric Clapton,Wonderful Tonight,much,Is that you just don't realize how __ I love you,140200,167100,26900,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
mTa8U0Wa0q8,Elton John,Your Song,much,I don't have __ money but boy if I did,24320,31480,7160,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
mTa8U0Wa0q8,Elton John,Your Song,much,I know it's not __ but it's the best I can do,56690,65200,8510,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
n-cD4oLk_D0,The Smiths,There Is A Light That Never Goes Out,such,Is __ a heavenly way to die,72810,76330,3520,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
n-cD4oLk_D0,The Smiths,There Is A Light That Never Goes Out,such,Is __ a heavenly way to die,160850,164540,3690,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
pT68FS3YbQ4,The Strokes,You Only Live Once,which,It doesn't matter __ you choose (oh no),119930,124010,4080,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
co6WMzDOh1o,U2,Beautiful Day,Touch,__ me,109900,114710,4810,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
co6WMzDOh1o,U2,Beautiful Day,Teach,__ me,120020,123400,3380,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
co6WMzDOh1o,U2,Beautiful Day,Touch,__ me,183310,185720,2410,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
co6WMzDOh1o,U2,Beautiful Day,Reach,__ me,190620,194170,3550,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
XmSdTa9kaiQ,U2,With Or Without You,reach,Through the storm we __ the shore,71390,75300,3910,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
qfNmyxV2Ncw,Aerosmith,Cryin',much,Love wasn't __ of a friend of mine,21770,27690,5920,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
IwWUOmk7wO0,Lynyrd Skynyrd,Sweet Home Alabama,much,Lord they get me off so __,198830,203700,4870,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
xmUZ6nCFNoU,The Smashing Pumpkins,Today,much,Tomorrow's __ too long,44820,47140,2320,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
GemKqzILV4w,Snow Patrol,Chasing Cars,much,Are said too __,85490,90220,4730,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OjyZKfdwlng,Warrant,Cherry Pie,such,cool drink of water __ a sweet surprise,72350,75200,2850,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
xTgKRCXybSM,A Perfect Circle,Judith,such,You're __ an inspiration for the ways,26140,30700,4560,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
vThD7ot9oII,Janis Joplin,Piece Of My Heart,each,"And __ time I tell myself that I, well I've just had enough,",41480,46510,5030,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
vThD7ot9oII,Janis Joplin,Piece Of My Heart,each,"And __ time I tell myself that I, well I can't stand the pain,",107370,112540,5170,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,touch,I want to love you but I better not __ (don?t touch),56010,60600,4590,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,touch,I want to love you but I better not touch (don?t __),56010,60600,4590,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,much,I want to kiss you but I want it too __ (too much),64640,68700,4060,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,much,I want to kiss you but I want it too much (too __),64640,68700,4060,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,touch,Don't want to __ you but you're under my skin (deep in),119550,124120,4570,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,touch,I want to love you but I better not __ (don?t touch),173970,178650,4680,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,touch,I want to love you but I better not touch (don?t __),173970,178650,4680,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,much,I want to kiss you but I want it too __ (to much),182480,186570,4090,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,much,I want to kiss you but I want it too much (to __),182480,186570,4090,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,touch,I want to love you but I better not __ (don?t touch),209720,213540,3820,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,touch,I want to love you but I better not touch (don?t __),209720,213540,3820,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,much,I want to kiss you but I want it too __ (too much),218040,221710,3670,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,much,I want to kiss you but I want it too much (too __),218040,221710,3670,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
1Cw1ng75KP0,Heart,Alone,touch,"To __ your lips and hold you tight, oh",83240,90740,7500,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,Touching,"__ you, touching me",31600,38690,7090,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,touching,"Touching you, __ me",31600,38690,7090,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,Touching,__ you God you're touching me,38690,45470,6780,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,touching,Touching you God you're __ me,38690,45470,6780,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,Touching,"__ you, touching me",83020,92320,9300,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,touching,"Touching you, __ me",83020,92320,9300,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,Touching,__ you God you're touching me,92320,98180,5860,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,touching,Touching you God you're __ me,92320,98180,5860,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,Touching,"__ you, touching me",144130,151210,7080,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,touching,"Touching you, __ me",144130,151210,7080,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,Touching,__ you God you're touching me,151210,157930,6720,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sRYNYb30nxU,The Darkness,I Believe In A Thing Called Love,touching,Touching you God you're __ me,151210,157930,6720,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NRtvqT_wMeY,Soul Asylum,Runaway Train,touch,"Little out of __, little insane",184350,188510,4160,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UrIiLvg58SY,Extreme,More Than Words,reach,And just __ out your hands and touch me,158810,167670,8860,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UrIiLvg58SY,Extreme,More Than Words,touch,And just reach out your hands and __ me,158810,167670,8860,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
5QD5n98R_nk,Mr. Big,To Be With You,much,That talk too __?,61460,64140,2680,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
j5-yKhDd64s,Eminem,Not Afraid,Whichever,"__ comes first, for better or worse",56060,58410,2350,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NlmezywdxPI,Eminem,Survival,each,I can see the finish line with __ line that I finish,87280,90100,2820,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NlmezywdxPI,Eminem,Survival,touch,My skin is too thick and bul-let proof to __ me,225890,228620,2730,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NlmezywdxPI,Eminem,Survival,achieve,"I just sneeze, but I just go atchoo then __!",233730,236890,3160,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
YVkUvmDQ3HY,Eminem,Without Me,such,And it's a disaster __ a catastrophe,123990,126310,2320,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
YVkUvmDQ3HY,Eminem,Without Me,much,For you to see so damn __ of my *** you ask for me,126310,129010,2700,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,much,"I don't even know how __ I really made, I forgot, it's a lot",6660,11750,5090,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,much,"I don't even know how __ I really made, I forgot, it's a lot",85630,90240,4610,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,touched,"I __ down in '86, knew I was a man by the age of 6",109580,113540,3960,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,much,"I don't even know how __ I really made, I forgot, it's a lot",179870,184830,4960,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,much,"I got way too __ on my mental, I learn from what I've been through",203690,208080,4390,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,rich,"I got 99 problems, getting __ ain't one",246630,250530,3900,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RubBzkZzpUA,Drake,Started From The Bottom,much,"There ain't really __ I hear that's poppin' off without us, *****",85210,88690,3480,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RubBzkZzpUA,Drake,Started From The Bottom,much,We don't like to do too __ explainin',116210,118820,2610,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RubBzkZzpUA,Drake,Started From The Bottom,much,We don't like to do too __ explainin',127410,129980,2570,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
2YcIgow6TDk,Jay-Z,Holy Grail,much,"Why I love you so __, oh",18000,25780,7780,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
2YcIgow6TDk,Jay-Z,Holy Grail,much,"Why I love it so __, yeah",43800,52010,8210,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
2YcIgow6TDk,Jay-Z,Holy Grail,much,Why I love you so __,255520,260720,5200,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
2YcIgow6TDk,Jay-Z,Holy Grail,much,Why I love you so __,281810,287310,5500,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
yyr2gEouEMM,Kendrick Lamar,Poetic Justice,approach,***** don't __ her with that Atari,63090,64790,1700,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NtxmnBQmfZs,Kendrick Lamar,Money Trees,rich,"A dollar might, turn to a million and we all __ that's just how I feel",128200,134000,5800,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NtxmnBQmfZs,Kendrick Lamar,Money Trees,rich,"A dollar might, turn to a million and we all __ that's just how I feel",234810,239610,4800,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
eCxaXqwRhvw,J. Cole,Crooked Smile,rich,"I got smart, I got __, and I got *****es still",30250,33200,2950,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
eCxaXqwRhvw,J. Cole,Crooked Smile,touch,That the hands can't __,103790,105200,1410,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
7AjD7nKiUQ4,J. Cole,Power Trip,each,"I used to pop up on you at the mall, __ day",148530,150890,2360,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
PsO6ZnUZI0g,Kanye West,Stronger,much,Cause I can't wait __ longer,11830,14190,2360,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
PsO6ZnUZI0g,Kanye West,Stronger,much,Cause I can't get __ wronger,16470,18770,2300,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
PsO6ZnUZI0g,Kanye West,Stronger,much,Cause I can't wait __ longer,76420,78730,2310,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
PsO6ZnUZI0g,Kanye West,Stronger,much,Cause I can't get __ wronger,81050,83750,2700,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
PsO6ZnUZI0g,Kanye West,Stronger,much,Cause I can't wait __ longer,141130,143390,2260,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
PsO6ZnUZI0g,Kanye West,Stronger,much,Cause I can't get __ wronger,145710,148020,2310,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
PsO6ZnUZI0g,Kanye West,Stronger,much,Cause I can't wait __ longer,196470,198760,2290,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
PsO6ZnUZI0g,Kanye West,Stronger,much,Cause I can't get __ wronger,201040,203380,2340,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OZLUa8JUR18,Lil Wayne,Mirror,each,So why are we here talkin' to __ other again,66850,73840,6990,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OZLUa8JUR18,Lil Wayne,Mirror,each,So why are we here talkin' to __ other again,115700,122670,6970,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OZLUa8JUR18,Lil Wayne,Mirror,each,So why are we here talkin' to __ other again,165060,171790,6730,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OZLUa8JUR18,Lil Wayne,Mirror,each,So why are we here talkin' to __ other again,192670,199490,6820,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OZLUa8JUR18,Lil Wayne,Mirror,each,So why are we talkin' to __ other again,218080,243000,24920,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
FWOsbGP5Ox4,2Pac,California Love,Beach,Let'em recognize from Long __ to Rosecrans,162400,164890,2490,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
FWOsbGP5Ox4,2Pac,California Love,beach,"Uh, yeah, uh, long __ in the house, uh yeah",233300,243600,10300,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
k2rqUlYN1m8,B.O.B,Headband,touch,"She bend it over, __ her toes when she toot that there",161690,164130,2440,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
kn6-c223DUU,B.O.B,Airplanes,much,To go back to a place __ simpler than this,32680,35190,2510,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
_JZom_gVfuw,The Notorious B.I.G.,Juicy,teachers,"Yea, this album is dedicated to all the __ that told me",2220,6150,3930,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
_JZom_gVfuw,The Notorious B.I.G.,Juicy,reach,"Don't let em hold you down, __ for the stars",76410,81730,5320,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
_JZom_gVfuw,The Notorious B.I.G.,Juicy,Leach,To up close and personal with Robin __,92830,95450,2620,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
_JZom_gVfuw,The Notorious B.I.G.,Juicy,reach,"Don't let em hold you down, __ for the stars",146110,151630,5520,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CB0gNT4-tIE,Rick Ross,No Games,richer,*****es taking pictures cause we keep on getting __,54810,58170,3360,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CB0gNT4-tIE,Rick Ross,No Games,touch,"If you playin' with work, we either feed 'em or __ 'em",126870,130080,3210,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
QZXc39hT8t4,Dr. Dre,The Next Episode,Beach,"Compton, Long __, Inglewood!",107170,109490,2320,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
_CL6n0FJZpk,Dr. Dre,Still D.R.E.,much,"Since I left ain't too __ changed, still",58830,61470,2640,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
eU4ZvfkmOck,The Game,Ali Bomaye,teacher,"I'm in a class of my own, my __ got fired",36670,40200,3530,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
eU4ZvfkmOck,The Game,Ali Bomaye,much,I'm getting so __ money I can buy ya *****,56880,60210,3330,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
eU4ZvfkmOck,The Game,Ali Bomaye,riches,"On the road to the __, *****es not tagging along",198780,202360,3580,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RijB8wnJCN0,Cypress Hill,Insane In The Brain,Much,__ too fast like a sumo slammin' dat ***,80030,83150,3120,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bd2B6SjMh_w,Gnarls Barkley,Crazy,much,Even your emotions have an echo in so __ space,29450,38300,8850,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bd2B6SjMh_w,Gnarls Barkley,Crazy,touch,Yeah I was out of __,40560,44230,3670,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bd2B6SjMh_w,Gnarls Barkley,Crazy,much,I just knew too __,50230,55250,5020,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
